date,open,high,low,close
2007-07-20,114.2,114.7,113.3,114.0
2007-07-23,113.5,114.9,111.75,112.35
2007-07-24,111.95,116.2,111.25,115.75
2007-07-25,115.5,115.6,114.0,114.2
2007-07-26,114.4,115.0,111.0,111.4
2007-07-27,111.5,113.2,111.0,112.7
2007-07-30,112.5,113.45,111.6,112.95
2007-07-31,112.95,114.4,112.5,114.3
2007-08-01,113.8,114.5,112.75,113.1
2007-08-02,113.5,116.5,113.5,116.2
2007-08-03,116.5,118.4,116.2,117.65
2007-08-06,117.9,119.5,116.25,118.4
2007-08-07,118.9,118.9,116.5,117.45
2007-08-08,116.8,119.0,116.55,118.5
2007-08-09,118.5,119.9,117.8,119.5
2007-08-10,118.85,121.0,116.9,120.6
2007-08-13,119.35,121.9,118.95,120.75
2007-08-14,120.6,121.9,118.35,119.15
2007-08-15,118.9,119.85,117.3,119.2
2007-08-16,118.5,118.9,110.95,111.3
2007-08-17,112.1,115.95,112.1,115.55
2007-08-20,115.2,116.3,114.25,114.85
2007-08-21,114.85,115.3,113.9,114.25
2007-08-22,114.4,115.05,113.75,114.45
2007-08-23,114.4,116.35,114.4,115.85
2007-08-24,115.95,116.65,114.4,114.65
2007-08-27,114.7,114.7,113.0,113.1
2007-08-28,113.3,114.85,113.0,113.65
2007-08-29,113.9,114.25,112.5,112.65
2007-08-30,112.65,112.95,111.75,111.75
2007-08-31,112.25,113.45,111.75,112.65
2007-09-04,115.0,115.8,112.8,114.55
2007-09-05,114.25,114.25,112.5,112.45
2007-09-06,112.65,113.6,112.65,113.55
2007-09-07,113.7,114.25,113.5,113.75
2007-09-10,114.2,116.35,114.2,117.05
2007-09-11,116.75,117.1,115.95,116.55
2007-09-12,117.35,117.35,117.0,117.1
2007-09-13,116.1,116.1,115.15,116.2
2007-09-14,117.0,117.0,117.0,118.05
2007-09-17,122.15,125.25,122.15,125.0
2007-09-18,124.0,127.1,124.0,126.7
2007-09-19,129.15,131.4,128.1,131.35
2007-09-20,129.7,134.45,128.55,133.15
2007-09-21,132.0,132.55,128.55,129.9
2007-09-24,128.2,133.25,127.9,132.4
2007-09-25,132.0,135.0,130.5,133.1
2007-09-26,131.2,131.95,127.25,128.6
2007-09-27,127.9,130.7,126.5,128.8
2007-09-28,129.9,130.4,127.5,128.65
2007-10-01,130.0,136.4,130.0,134.85
2007-10-02,134.85,135.5,133.5,134.3
2007-10-03,134.0,136.25,133.15,135.85
2007-10-04,135.85,137.4,134.1,135.2
2007-10-05,135.2,137.85,134.2,137.0
2007-10-08,138.0,139.9,136.85,138.75
2007-10-09,138.05,138.4,132.55,133.75
2007-10-10,133.45,136.25,133.1,133.4
2007-10-11,134.9,139.7,134.0,138.25
2007-10-12,137.8,140.8,136.2,139.3
2007-10-15,138.05,138.5,129.25,130.05
2007-10-16,130.3,131.0,127.5,128.15
2007-10-17,129.0,130.1,128.25,129.55
2007-10-18,128.9,129.2,122.3,125.4
2007-10-19,126.0,126.85,124.3,125.0
2007-10-22,123.9,125.75,121.9,123.55
2007-10-23,122.55,124.8,122.3,123.85
2007-10-24,124.85,125.25,122.75,123.5
2007-10-25,123.0,123.95,120.35,120.6
2007-10-26,121.0,122.0,119.95,121.45
2007-10-29,120.85,122.5,120.2,122.35
2007-10-30,122.0,123.25,120.5,121.9
2007-10-31,121.95,123.05,120.8,121.35
2007-11-01,121.8,123.9,121.4,122.6
2007-11-02,123.25,123.25,118.05,118.9
2007-11-05,119.5,120.45,118.45,119.95
2007-11-06,119.95,121.4,119.6,120.7
2007-11-07,120.95,122.35,120.3,120.45
2007-11-08,120.95,122.75,120.35,121.9
2007-11-09,122.25,122.9,121.4,121.75
2007-11-12,121.8,122.5,118.45,121.75
2007-11-13,121.7,124.85,121.7,122.6
2007-11-14,122.8,125.05,122.65,124.2
2007-11-15,124.8,125.8,123.25,124.8
2007-11-16,124.8,126.1,124.4,124.9
2007-11-19,124.0,124.25,120.8,121.65
2007-11-20,121.35,124.7,121.35,124.35
2007-11-21,124.4,124.45,122.75,123.45
2007-11-26,123.45,124.2,122.1,122.1
2007-11-27,122.1,122.4,120.35,122.25
2007-11-28,122.85,127.5,122.6,125.8
2007-11-29,126.5,126.5,125.1,125.2
